epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.7213,0.7166,1.1031,0.5164
2,0.5485,0.791,1.2401,0.5317
3,0.4827,0.8365,1.5758,0.2867
4,0.4026,0.8668,0.822,0.6433
5,0.3621,0.8751,0.8784,0.6411
6,0.3568,0.8787,3.2155,0.3435
7,0.3419,0.8797,0.9818,0.6521
8,0.2897,0.8999,1.1746,0.5427
9,0.291,0.8939,0.8494,0.7374
10,0.2915,0.8939,1.2212,0.6258
11,0.252,0.9109,0.6359,0.7287
12,0.2448,0.9155,0.6665,0.7155
13,0.2344,0.9196,1.8604,0.4945
14,0.2236,0.9201,4.924,0.2276
15,0.2453,0.9063,1.8532,0.5733
