epoch,train_loss,train_accuracy,val_loss,val_accuracy
1,0.3336,0.8737,0.3461,0.8534
2,0.1688,0.9352,4.691,0.5033
3,0.1272,0.9573,1.4509,0.6958
4,0.1065,0.9587,0.5898,0.814
5,0.0627,0.9793,0.4448,0.8796
6,0.0314,0.9931,0.8704,0.8074
7,0.0618,0.9798,0.8918,0.8403
8,0.0665,0.9747,0.729,0.8337
9,0.0897,0.9683,0.6578,0.8731
10,0.0595,0.9798,1.131,0.7374
11,0.0253,0.9904,1.2595,0.7615
12,0.0221,0.994,0.8499,0.7965
13,0.0104,0.9972,0.7029,0.8578
14,0.0964,0.9711,0.7906,0.8512
15,0.0695,0.9825,0.4954,0.8512
